name,slug,tier,description
Adrenaline Burst,adrenaline-burst,Bruiser,"<p>Once per scene, spend a Fear to clear 2 HP and 2 Stress.</p>"
Anger Unrelenting,anger-unrelenting,Bruiser,<p>The Demon’s attacks deal direct damage.</p>
Battering Ram,battering-ram,Bruiser,"<p><strong>Mark a Stress</strong> to have the Brawler charge at an inanimate object within Close range they could feasibly smash (such as a wall, cart, or market stand) and destroy it. All targets within Very Close range of the object must succeed on an Agility Reaction Roll or take <strong>2d4+3</strong> physical damage from the shrapnel.</p><p>@Template[type:circle|range:vc]</p>"
Battle Lust,battle-lust,Bruiser,<p><strong>Spend a Fear</strong> to boil the blood of all PCs within Far range. They use a d20 as their Fear Die until the end of the scene.</p><p>@Template[type:emanation|range:f]</p>
Bite,bite,Bruiser,"<p><strong>Mark a Stress</strong> to make an attack against a target within Melee range. On a success, deal <strong>3d4+10</strong> physical damage and the target is <em>Restrained</em> until they break free with a successful Strength Roll.</p>"
Blood and Souls,blood-and-souls,Bruiser,"<p>Countdown (Loop 6). Activate the first time an attack is made within sight of the Demon. It ticks down when a PC takes a violent action. When it triggers, summon [[/r 1d4]]@UUID[Compendium.daggerheart.adversaries.Actor.3tqCjDwJAQ7JKqMb]{Minor Demons}, who appear at Close range.</p>"
Blood in the Water,blood-in-the-water,Bruiser,"<p>When a creature within Close range of the Shark marks HP from another creature’s attack, you can <strong>mark a Stress</strong> to immediately spotlight the Shark, moving them into Melee range of the target and making a standard attack.</p>"
Bloody Reprisal,bloody-reprisal,Bruiser,"<p>When the Brawler marks 2 or more HP from an attack within Very Close range, you can make a standard attack against the attacker. On a success, the Brawler deals <strong>2d6+15</strong> physical damage instead of their standard damage.</p>"
Box In,box-in,Bruiser,<p><strong>Mark a Stress</strong> to choose a target within Very Close range to focus on. That target has disadvantage on attack rolls when they’re within Very Close range of the Sentinel. The Sentinel can only focus on one target at a time.</p>
Chaotic Form,chaotic-form,Bruiser,"<p>When the Abomination attacks, roll <strong>2d4</strong> and use the result as their attack modifi er.</p>"
Charging Bull,charging-bull,Bruiser,"<p><strong>Mark a Stress</strong> to charge through a group within Close range and make an attack against all targets in the Minotaur’s path. Targets the Minotaur succeeds against take <strong>2d6+8</strong> physical damage and are knocked back to Very Far range. If a target is knocked into a solid object or another creature, they take an extra <strong>1d6</strong> damage (combine the damage).</p>"
Clear the Decks,clear-the-decks,Bruiser,"<p>Make an attack against a target within Very Close range. On a success, <strong>mark a Stress</strong> to move into Melee range of the target, dealing <strong>3d4</strong> physical damage and knocking the target back to Close range.</p>"
Crushing Blows,crushing-blows,Bruiser,"<p>When the Elemental makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.</p>"
Cut to the Bone,cut-to-the-bone,Bruiser,<p><strong>Mark a Stress</strong> to make an attack against all targets within Very Close range. Targets the Knight succeeds against take <strong>1d8+2</strong> physical damage and must mark a Stress.</p><p>@Template[type:emanation|range:vc]</p>
Dig Two Graves,dig-two-graves,Bruiser,"<p>When the Knight is defeated, they make an attack against a target within Very Close range (prioritizing the creature who killed them). On a success, the target takes <strong>1d4+8</strong> physical damage and loses <strong>1d4</strong> Hope.</p>"
Disorienting Presence,disorienting-presence,Bruiser,"<p>When a target takes damage from the Abomination, they must make an Instinct Reaction Roll. On a failure, they gain disadvantage on their next action roll and you gain a Fear.</p>"
Double Strike,double-strike,Bruiser,<p><strong>Mark a Stress</strong> to make a standard attack against two targets within Melee range.</p>
Fearsome Presence,fearsome-presence,Bruiser,<p>PCs can’t spend Hope to use features against the Zombie.</p>
Goading Strike,goading-strike,Bruiser,"<p>Make a standard attack against a target. On a success, <strong>mark a Stress</strong> to Taunt the target until their next successful attack. The next time the Taunted target attacks, they have disadvantage against targets other than the Weaponmaster.</p>"
Gore,gore,Bruiser,"<p>Make an attack against a target within Very Close range, moving the Minotaur into Melee range of them. On a success, deal <strong>2d8</strong> direct physical damage.</p>"
Grab and Drag,grab-and-drag,Bruiser,"<p>Make an attack against a target within Close range. On a success, <strong>spend a Fear</strong> to pull them into Melee range, deal <strong>1d6+2</strong> physical damage, and <em>Restrain</em> them until the Defender takes Severe damage.</p>"
Ground Slam,ground-slam,Bruiser,"<p>Slam the ground, knocking all targets within Very Close range back to Far range. Each target knocked back this way must mark a Stress.</p><p>@Template[type:emanation|range:vc]</p>"
