name,slug,description,tier,actions
Agility Booster Nanoshot,agility-booster-nanoshot,A fast-acting nanite injection that heightens reflex loops and micro-muscle response. +1 bonus to your next Agility roll.,Tier 1,"{'GwQgdB3E1HogFKvD': {'type': 'effect', '_id': 'GwQgdB3E1HogFKvD', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Agility Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'xQ0xPDxskzZH4jeK', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-flask-corked-cyan.webp', 'range': ''}}"
Cognitive Overclock Pill,cognitive-overclock-pill,A nootropic compound that spikes short-term intellect and recall. +1 bonus to your next Knowledge roll.,Tier 1,"{'F3K719gxEwQH697e': {'type': 'effect', '_id': 'F3K719gxEwQH697e', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Knowledge Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'QNzVrDW73jF1d5wE', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/vial-cork-empty.webp', 'range': ''}}"
Combat Regen Inhalant,combat-regen-inhalant,A rapid-acting chemical cocktail—mark 1 Stress to clear 1 HP.,Tier 1,"{'FVn1NAbzHHyX2lsM': {'type': 'healing', '_id': 'FVn1NAbzHHyX2lsM', 'systemPath': 'actions', 'description': '<p>Mark a Stress and clear a HP.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'scalable': False, 'key': 'stress', 'value': 1, 'keyIsID': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [{'value': {'custom': {'enabled': True, 'formula': '1'}, 'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None}, 'applyTo': 'hitPoints', 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}, 'type': []}], 'includeBase': False}, 'target': {'type': 'self', 'amount': None}, 'effects': [], 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, 'name': 'Imbibe', 'img': 'icons/commodities/materials/bowl-powder-gold.webp', 'range': ''}}"
Focus Amp Tabs,focus-amp-tabs,A pair of dissolving nootropic strips that flood the mind with clarity. Gain 2 Hope.,Tier 1,"{'9e4l2Yiy8uV26SQF': {'type': 'healing', '_id': '9e4l2Yiy8uV26SQF', 'systemPath': 'actions', 'description': '<p>You can eat these paired leaves to immediately gain 2 Hope.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [{'value': {'custom': {'enabled': True, 'formula': '2'}, 'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None}, 'applyTo': 'hope', 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}, 'type': []}], 'includeBase': False}, 'target': {'type': 'self', 'amount': None}, 'effects': [], 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, 'name': 'Eat', 'img': 'icons/consumables/plants/leaf-serrated-pink.webp', 'range': ''}}"
Grim Contact toxin,grim-contact-toxin,<p>You can apply this venom to a Melee weapon that deals physical damage to add a d6 to your next damage roll with that weapon.</p>,Tier 1,"{'BuzdaD4vLsbBS2gy': {'type': 'effect', '_id': 'BuzdaD4vLsbBS2gy', 'systemPath': 'actions', 'description': '<p>You can apply this venom to a weapon that deals physical damage to add a d6 to your next damage roll with that weapon.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'yx4ZkXeuXgw2KvV4', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Apply', 'img': 'icons/consumables/potions/bottle-conical-corked-labeled-skull-poison-green.webp', 'range': ''}}"
Instinct Amplifier Chip,instinct-amplifier-chip,A temporary neural patch that sharpens intuition and sensory prediction. +1 bonus to your next Instinct roll.,Tier 1,"{'aiyNOQZbVpTDagXy': {'type': 'effect', '_id': 'aiyNOQZbVpTDagXy', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Instinct Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'I5vgALTNDVApxy9d', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/bottle-conical-corked-purple.webp', 'range': ''}}"
Kinetic Leg Booster,kinetic-leg-booster,A leg-mounted actuator charge that launches you up to Far range once without rolling.,Tier 1,"{'TT4jzve7o2ykPcQO': {'type': 'effect', '_id': 'TT4jzve7o2ykPcQO', 'systemPath': 'actions', 'description': '<p>Eat this root to leap up to Far range once without needing to roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Eat', 'img': 'icons/consumables/plants/dried-bundle-wrapped-stems-sticks-brown.webp', 'range': ''}}"
Liquid Focus,liquid-focus,"<p>After injecting this ampule, the next successful attack you make critically succeeds.</p>",Tier 1,"{'NCcqIcPhEsUnFh7S': {'type': 'effect', '_id': 'NCcqIcPhEsUnFh7S', 'systemPath': 'actions', 'description': '<p>After drinking this potion, the next successful attack you make critically succeeds.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'QyzXAnvho7lVQQtP', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/conical-ornate-purple.webp', 'range': ''}}"
Minor Adrenaline Patch,minor-adrenaline-patch,A mild stim patch that reduces stress hormones and stabilizes vitals. Clears 1d4 Stress.,Tier 1,"{'fdjpkjhzHQOrZPm0': {'type': 'healing', '_id': 'fdjpkjhzHQOrZPm0', 'systemPath': 'actions', 'description': '<p>Clear 1d4 Stress.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'flat', 'flatMultiplier': 1, 'dice': 'd4', 'bonus': None}, 'applyTo': 'stress', 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}, 'type': []}], 'includeBase': False}, 'target': {'type': 'self', 'amount': None}, 'effects': [], 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-tube-corked-green.webp', 'range': ''}}"
Minor Health Stimpack,minor-health-stimpack,A compact medical injector loaded with clotting foam and nanite tissue repair. Restores 1d4 HP.,Tier 1,"{'9HVL2MPFX9VGiSsV': {'type': 'healing', '_id': '9HVL2MPFX9VGiSsV', 'systemPath': 'actions', 'description': '<p>Clear 1d4 HP.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'flat', 'flatMultiplier': 1, 'dice': 'd4', 'bonus': None}, 'applyTo': 'hitPoints', 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}, 'type': []}], 'includeBase': False}, 'target': {'type': 'self', 'amount': None}, 'effects': [], 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': None, 'treshold': None}, 'useDefault': False}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-tube-corked-red.webp', 'range': ''}}"
Morale Beacon Flare,morale-beacon-flare,"<p>A short-range beacon that boosts allied morale, for the remainder of the Scene. Allies in Close range roll d6 when spending Hope; on a 6, Hope isn’t spent.</p>",Tier 1,"{'hTF2K4uWcrUypLbs': {'type': 'effect', '_id': 'hTF2K4uWcrUypLbs', 'systemPath': 'actions', 'description': '<p>When you use this flare, allies within Close range roll a d6 when they spend a Hope. On a result of 6, they gain the effect of that Hope without spending it. The flare lasts until the end of the scene.</p><p>@Template[type:emanation|range:c]</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/commodities/tech/smoke-bomb-purple.webp', 'range': ''}}"
