name,slug,description,tier,actions
Brainiac™ Base Unit,brainiac-base-unit,"<i>""Amplify intellect, unlock future potential.""</i><br /><br /><p class=""Card-Feature"">Brainiac™ Base Unit - includes embedded comms unit and allows other Brainiac modules to be installed</p>",Tier 1,"{'t7GRR29XIEl5Q746': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Amplify intellect, unlock future potential.""</i><br><br><p class=""Card-Feature"">Brainiac™ Base Unit - includes embedded comms unit and allows other Brainiac modules to be installed', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Brainiac™ Base Unit', 'img': 'modules/cybermancy/assets/icons/cybernetics/brainiac-base-unit.webp', 'range': '', '_id': 't7GRR29XIEl5Q746', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Brainiac™ CPU Implant,brainiac-cpu-implant,"<i>Unlock brilliance, master every challenge.</i><br /><br /><p class=""Card-Feature"">Brainiac™ base unit - enables other Brainiac-related cybernetics and abilities. <br /><br />Once per long rest, <strong>Spend 1 Hope</strong> for advantage on an Knowlege roll or saving throw - the Knowledge roll must be on a topic that your character could reasonably be proficient with (does not grant new knowledge)</p>",Tier 1,"{'iwvaBw8gBtM7Sgvm': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Unlock brilliance, master every challenge.</i><br><br><p class=""Card-Feature"">Brainiac™ base unit - enables other Brainiac-related cybernetics and abilities. <br><br>Once per long rest, <strong>Spend 1 Hope</strong> for advantage on an Knowlege roll or saving throw - the Knowledge roll must be on a topic that your character could reasonably be proficient with (does not grant new knowledge)', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False, 'itemId': None}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Brainiac™ CPU Implant', 'img': 'modules/cybermancy/assets/icons/cybernetics/brainiac-cpu-implant.webp', 'range': '', '_id': 'iwvaBw8gBtM7Sgvm', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Brainiac™ Cyberdeck,brainiac-cyberdeck,"<i>""Whispered code, unleashed within arm's reach.""</i><br /><br /><p class=""Card-Feature"">You have an advanced Brainiac unit implant with enough power to function as a hacking rig, but it isn't as powerful as a normal hacking rig and has shorter range.  You may make Spellcasting (Hacking) actions within Very Close and at -2 on your rolls.  <br /><br /> Requires ™ Base Unit.</p>",Tier 1,"{'PH2yh9IiSXd8FyrX': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Whispered code, unleashed within arm\'s reach.""</i><br><br><p class=""Card-Feature"">You have an advanced Brainiac unit implant with enough power to function as a hacking rig, but it isn\'t as powerful as a normal hacking rig and has shorter range.  You may make Spellcasting (Hacking) actions within Very Close and at -2 on your rolls.  <br><br> Requires ™ Base Unit.', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Brainiac™ Cyberdeck', 'img': 'modules/cybermancy/assets/icons/cybernetics/brainiac-cyberdeck.webp', 'range': '', '_id': 'PH2yh9IiSXd8FyrX', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Brainiac™ Signal Amplifier Array,brainiac-signal-amplifier-array,"<i>Extend your touch to distant realms.</i><br /><br /><p class=""Card-Feature""><strong>Spend 2 Hope</strong> to increase the range at which you can interact with Devices or Drones for the remainder of the scene</p>",Tier 1,"{'uwCkfil9PqZyqVKJ': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Extend your touch to distant realms.</i><br><br><p class=""Card-Feature""><strong>Spend 2 Hope</strong> to increase the range at which you can interact with Devices or Drones for the remainder of the scene', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 2, 'scalable': False, 'step': None, 'consumeOnSuccess': False, 'itemId': None}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Brainiac™ Signal Amplifier Array', 'img': 'modules/cybermancy/assets/icons/cybernetics/brainiac-signal-amplifier-array.webp', 'range': '', '_id': 'uwCkfil9PqZyqVKJ', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Caracal Ears,caracal-ears,"<i>Whispers unveiled, secrets echo endlessly.</i><br /><br /><p class=""Card-Feature"">Audio signal pre-processor that effectively extends your hearing by 1 range unit, meaning you can hear a whisper at Close, quiet speech at Far, and regular speech at Very Far.</p>",Tier 1,"{'M0fzsJc5UJReRtFN': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Whispers unveiled, secrets echo endlessly.</i><br><br><p class=""Card-Feature"">Audio signal pre-processor that effectively extends your hearing by 1 range unit, meaning you can hear a whisper at Close, quiet speech at Far, and regular speech at Very Far.', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Caracal Ears', 'img': 'modules/cybermancy/assets/icons/cybernetics/caracal-ears.webp', 'range': '', '_id': 'M0fzsJc5UJReRtFN', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Chemical hazard sensor,chemical-hazard-sensor,"<i>Inhale secrets; exhale mastery.</i><br /><br /><p class=""Card-Feature"">Once per scene, <strong>Spend 1 Hope</strong> to monitor your environment for chemicals of all types.  Like a massively improved sense of smell</p>",Tier 1,"{'3uETmp5BBLmLgDxD': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Inhale secrets; exhale mastery.</i><br><br><p class=""Card-Feature"">Once per scene, <strong>Spend 1 Hope</strong> to monitor your environment for chemicals of all types.  Like a massively improved sense of smell', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False, 'itemId': None}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Chemical hazard sensor', 'img': 'modules/cybermancy/assets/icons/cybernetics/chemical-hazard-sensor.webp', 'range': '', '_id': '3uETmp5BBLmLgDxD', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Claws,claws,"<i>Forged elegance, lethal precision.</i><br /><br /><p class=""Card-Feature""><strong>Spend 1 Hope</strong> to extend these cybernetic claws.  They stay extended until you take an action to retract them.  d4 damage</p>",Tier 1,"{'3nEMYd4llMxterWZ': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Forged elegance, lethal precision.</i><br><br><p class=""Card-Feature""><strong>Spend 1 Hope</strong> to extend these cybernetic claws.  They stay extended until you take an action to retract them.  d4 damage', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'hope', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False, 'itemId': None}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Claws', 'img': 'modules/cybermancy/assets/icons/cybernetics/claws.webp', 'range': '', '_id': '3nEMYd4llMxterWZ', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Cognitive Manifold Core,cognitive-manifold-core,"<i>""Unleash hope, transcend limits.""</i><br /><br /><p class=""Card-Feature"">Once per scene, <strong>Mark 1 Stress</strong> to increase your Hope die to d20 for the current Spellcasting Roll</p>",Tier 1,"{'6U6KJFFDy57K87pq': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>""Unleash hope, transcend limits.""</i><br><br><p class=""Card-Feature"">Once per scene, <strong>Mark 1 Stress</strong> to increase your Hope die to d20 for the current Spellcasting Roll', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'key': 'stress', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False, 'itemId': None}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cognitive Manifold Core', 'img': 'modules/cybermancy/assets/icons/cybernetics/cognitive-manifold-core.webp', 'range': '', '_id': '6U6KJFFDy57K87pq', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Cortisol Modulator,cortisol-modulator,"<i>Ethereal serenity, engineered for your mind.</i><br /><br /><p class=""Card-Feature"">Once per rest, Recover 1 Stress</p>",Tier 1,"{'uRaBmEYZOuuPYlAC': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Ethereal serenity, engineered for your mind.</i><br><br><p class=""Card-Feature"">Once per rest, Recover 1 Stress', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '1', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cortisol Modulator', 'img': 'modules/cybermancy/assets/icons/cybernetics/cortisol-modulator.webp', 'range': '', '_id': 'uRaBmEYZOuuPYlAC', 'baseAction': False, 'originItem': {'type': 'itemCollection'}}}"
Cyberarm™  Combat Limbs,cyberarm-combat-limbs,"<i>Edge precision, unrivaled force, definitive impact.</i><br /><br /><p class=""Card-Feature"">+1 to all Attacks made by a Melee weapon that does physical damage. <br /><br />Requires Cyberarm™ base unit</p>",Tier 1,"{'CtgrIqK1JFn10hn8': {'type': 'effect', 'systemPath': 'actions', 'description': '<i>Edge precision, unrivaled force, definitive impact.</i><br><br><p class=""Card-Feature"">+1 to all Attacks made by a Melee weapon that does physical damage. <br><br>Requires Cyberarm™ base unit', 'chatDisplay': True, 'actionType': 'passive', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Cyberarm™  Combat Limbs', 'img': 'modules/cybermancy/assets/icons/cybernetics/cyberarm-combat-limbs.webp', 'range': '', '_id': 'CtgrIqK1JFn10hn8'}}"
