name,slug,description,tier,actions
Primary Drone Base Armor,primary-drone-base-armor,<p>All primary drones start with this level of armor</p>,1,{}
Chemical analysis tool,chemical-analysis-tool,Your Primary Drone gains the ability to constantly monitor environment within Close for any chemical hazards and can detect explosives as well.,Tier 1,{}
Electronic surveillance kit,electronic-surveillance-kit,"Give your Primary Drone the ability to eavesdrop on electric signals within Very Far.  If those signals are encrypted, you must make a Knowledge check against the Environment Difficulty to decrypt.",Tier 1,{}
Grappling device,grappling-device,Your Primary Drone has an embedded grappling hook and 10m of cable.,Tier 1,{}
Melee weapon,melee-weapon,"Your drone gains an extra Melee range attack, damage: d8+3",Tier 1,{}
Night vision,night-vision,Allows your Primary Drone to see in total darkness up to Close and low-light up to Very Far.,Tier 1,{}
Storage locker,storage-locker,"Your Primary Drone  gains an internal modular cargo bay with secure locking and temperature stabilization. Supports mission-specific payloads, evidence retention, and concealment; access controlled via cryptographic key.",Tier 1,{}
Submersible,submersible,"Your Primary Drone gains a watertight hull and sealed propulsion package enabling limited underwater operation. Supports shallow submersion, periscope comms, and buoyancy control; not rated for deep-sea pressures.",Tier 1,{}
Telescope,telescope,"Your Primary Drone gains the ability to see with a 20x optical zoom, plus an additional 10x digital zoom allowing it to see and capture high quality images and video within 400m",Tier 1,{}
Digger,digger,Your Primary Drone gaines the ability to burrow through soil at a rate of 3m / minute.,Tier 2,{}
Extra armor,extra-armor,"+1 Armor, +2 / +2 to Major and Severe damage thresholds, -1 Evasion",Tier 2,{}
Extra weapon,extra-weapon,"Your Primary Drone gains an extra attack, d6+2",Tier 2,{}
Grenade,grenade,Place a token on this card and remove 1 grenade from your inventory.  Your Primary Drone now has the ability to launch that grenade as an attack action .,Tier 2,{}
Lock kit,lock-kit,Give your Primary Drone the ability to make a Finesse check using your character's Finesse ability when attempting to open a physical or electronic lock.,Tier 2,{}
Portable barrier,portable-barrier,"Your Primary Drone gains the ability to deploy a linear barrier.  Any creature can gain the Hidden condition by crouching down behind the barrier, but the drone may now gain the Hidden condition from its own portable barrier.",Tier 2,{}
Signal booster,signal-booster,Your Primary Drone can now operate anywhere within the Scene and is invulnerable to signal jamming if within Close of you.,Tier 2,{}
Signal jammer,signal-jammer,Your Primary Drone gains a signal jammer such that all comms (ally and adversary) within Close are effectively jammed.  All other drones within Very Close can no longer receive signal or commands.,Tier 2,{}
Rocket launcher,rocket-launcher,Place 1 token on this card and remove 1 rocket from your inventory (must be acquired or built during a long rest).  Your Primary Drone now has the ability to launch that rocket as an attack action.,Tier 3,{}
Stealth shield,stealth-shield,Your Primary Drone gains the ability to trigger the Hidden condition as an action.  That condition persists until it takes any other action.,Tier 3,{}
