name,slug,description
Arcane Debugging,arcane-debugging,"<p>You patch reality like bad code. </p><p>At the start of each session, gain a number of Debug Tokens equal to your Finesse modifier (minimum 1). When a creature you can see makes an Instinct or Finesse roll, you may spend 1 Debug Token after the roll to let them reroll one die from that roll. (They must keep the new result.) You regain all spent Debug Tokens when you complete a long rest. </p><p>As a short rest move, you may gain additional Debug Tokens equal to your Finesse modifier.</p>"
Ash Cloud,ash-cloud,"<p><em>You move blind through data smoke and security ghosts.</em><br /><br /></p><p class=""Card-Feature"">Start a Countdown Clock (4)</p><p><br /></p><p></p><p>Spend 1 Fear to advance the Countdown Clock and advance the System Alert level by the value of the Countdown Clock. As a Reaction, a hacker can make a Spellcasting (Hacking) check against the Difficulty of this ICE to prevent the System Alert level advancing.</p><p><br /></p><p></p><p>When the Countdown Clock is complete, the ICE deactivates.</p>"
Battle-bonded,battle-bonded,"<p class=""Card-Feature"">If you and your Primary Drone are within Very Close, as a Reaction <strong>Spend 1 Hope</strong> to give you both +2 Evasion for 1 adversary’s attack</p>"
Become one with the Matrix,become-one-with-the-matrix,"<p>Once per long rest, you delve so deeply, that you can almost see the System as a whole from the inside. Start a counter at your Tier level (which by the time you are at Mastery, will be a d8 or d10). While that counter is in effect:</p><ul><li><p>+6 on all Analyze rolls</p></li><li><p>+4 on all Infiltration rolls</p></li><li><p>+2 on all Control rolls</p></li><li><p>+d4 on all damage effects</p></li><li><p>Cybernetic devices can be targeted as if they were regular devices.</p></li></ul><p>Tick down the die by 1 for each Action you take.</p>"
Black ICE,black-ice,"<p><em>It doesn’t defend the system—it defends itself.</em><br /><br /></p><p class=""Card-Feature"">While this ICE is active, a hacker must mark 1 Stress to perform any Infiltration or Control actions on this device.</p><p></p><p>Spend 1 Fear to do 1 HP of direct damage to the hacker.</p><p class=""Card-Feature""></p>"
Boom baby,boom-baby,"<p class=""Card-Feature"">Detonate any Device you Control within Very Far. All targets within Very Close of the targeted Device must make a Reaction Roll (13). Targets who fail take <strong>d8+2</strong> physical damage using your Proficiency. Targets who succeed take half damage.<br />@Template[type:emanation|range:vc]</p>"
Brainstorm,brainstorm,"<p><em>Every sound becomes light. Every color screams.</em><br /><br /></p><p class=""Card-Feature"">On first contact, floods your neural link with raw sensory data</p><p><em>Every sound becomes light. Every color screams.</em><br /></p><p class=""Card-Feature"">On first contact, floods your neural link with raw sensory data, as a Reaction roll Spellcasting (Hacking) at the difficulty of this device or Mark 1 Stress immediately.</p><p></p><p>Mark 1 Stress on any failed Spellcasting (Hacking) roll or Success with Fear outcome until this ICE is disabled.</p>"
Breach and Clear,breach-and-clear,<p>Spend 2 Fear. Jax moves to Close range and immediately spotlights one other Dead Current member.</p>
Built-in SMGs,built-in-smgs,
Calm in the storm,calm-in-the-storm,All allies within Close of you can Spend 1 Hope as a Reaction to grant themselves +2 Evasion.
Chaos wave,chaos-wave,All adversaries within Very Close must Mark 1 Stress
Coding Reality,coding-reality,"<p>You hotfix the scene with a split-second patch. </p><p>Once per scene, you may invoke a flashback to declare that you previously acquired, prepared, or cached a small magical or technological item you now need (the GM may forbid items that would trivialize the scene; no ammunition, explosives, or excavation tools).  </p><p>Flashback cost may be reduced due to the ephemeral nature of the item, and may use hope and/or stress resources.  The item persists for 5 seconds (long enough for one immediate use) before the weight of collective perception forces it to derez.</p>"
Coming through,coming-through,"<p class=""Card-Feature"">Once per rest, <strong>Mark 1 Stress</strong> per ICE on a Device you are attempting to Control. Make a <strong>Spellcasting (Hacking)</strong> roll against each ICE at +2. Any ICE you succeed against are removed from the Device. Raise the System Alert by 1 for each ICE you fail against. You cannot stop rolling until all the ICE have been rolled against.</p>"
Daemon Host,daemon-host,"<p><em>It speaks your syntax and calls you by your old handle.</em><br /><br /></p><p class=""Card-Feature"">Spawns a self-aware daemon that hounds and taunts across systems until removed.</p><p></p><p>The ICE attempts to install a daemon on your computer.  As a Reaction, make a Spellcasting (Hacking) roll against the Difficulty of this ICE to prevent this installation.</p><p></p><p>If the daemon is successfully installed, all subsequent Spellcasting (Hacking) checks are at -2.  To remove the daemon, requires a Short Rest downtime activity.</p><p></p><p>While running the daemon provides running commentary on the deficiencies of your coding, hair cut, and life choices in the voice of an Italian grandmother.</p>"
Data Hound,data-hound,"<p><em>A blinking icon follows you across subnets—and it’s learning.</em><br /><br /></p><p class=""Card-Feature""><strong>Spend 1 Fear</strong> to create a copy of this ICE to another device within Close and increase the Difficulty of the cloned ICE by 1</p>"
Destructive Interference,destructive-interference,"Once per session, reduce the size of one area of effect."
Detect anomaly,detect-anomaly,You are highly attuned to the presence of effects that attempt to alter the local Resonance.  Spend an action concentrating to detect if there are any anomalies within Close.  Spend at least 1 minute concentrating to detect information about any anomalies within Very Close – you may ask the GM up to 3 yes/no questions about an resonance field disturbance you detect and examine in this way.
Digital Awareness,digital-awareness,"<p class=""Card-Feature"">Spotlight an Action to become aware of any digital signal within Very Close.</p><p><br /></p><p class=""Card-Feature""><strong>Spend 1 Hope</strong> to extend the range to within Close.</p><p><br /></p><p class=""Card-Feature""><strong>Mark 1 Stress</strong> to extend the range to within Far. This alerts you to the devices’ presence, type, and whether they are hardened or unharden-</p>"
