name,slug,description,tier,actions
Adrenaline Patch Geneartor Mk.1,adrenaline-patch-geneartor-mk-1,"<p>As a downtime move, you can craft a Minor Adrenaline Patch. nanite payload delivers fast onset effects</p>",Tier 1,{}
Black Glider Beacon,black-glider-beacon,"While falling, you can mark a Stress to deploy this small parachute and glide safely to the ground. black-market tech favored by runners and fixers",Tier 1,"{'Adz50oihGEMJxbyA': {'type': 'effect', '_id': 'Adz50oihGEMJxbyA', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'scalable': False, 'key': 'stress', 'value': 1, 'keyIsID': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Mark Stress', 'img': 'icons/commodities/leather/leather-patch-red.webp', 'range': ''}}"
Chrome Fire Jar Beacon,chrome-fire-jar-beacon,You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest. black-market tech favored by runners and fixers,Tier 1,"{'nzXMuxD8DpT1dMXF': {'type': 'effect', '_id': 'nzXMuxD8DpT1dMXF', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': 1, 'max': '1', 'recovery': 'longRest', 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Pour', 'img': 'icons/containers/kitchenware/jug-wrapped-red.webp', 'range': ''}}"
Chrome Homing Compasses Beacon,chrome-homing-compasses-beacon,These two compasses point toward each other no matter how far apart they are. black-market tech favored by runners and fixers,Tier 1,{}
Cipher Arc Torch,cipher-arc-torch,"You can light this magic torch at will. The flame’s light fills a much larger space than it should, enough to illuminate a cave bright as day. black-market tech favored by runners and fixers",Tier 1,{}
Cipher Calming Pendant Lens,cipher-calming-pendant-lens,"When you would mark your last Stress, roll a d6. On a result of 5 or higher, don’t mark it. black-market tech favored by runners and fixers",Tier 1,"{'wIlkGuUddWSUp4nN': {'type': 'attack', '_id': 'wIlkGuUddWSUp4nN', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [], 'includeBase': False}, 'target': {'type': 'any', 'amount': None}, 'effects': [], 'roll': {'type': 'diceSet', 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'flat', 'flatMultiplier': 1, 'dice': 'd6', 'compare': 'aboveEqual', 'treshold': 5}, 'useDefault': False}, 'save': {'trait': None, 'difficulty': None, 'damageMod': 'none'}, 'name': 'Use', 'img': 'icons/equipment/neck/amulet-round-blue.webp', 'range': ''}}"
Flux Circuit Ring,flux-circuit-ring,"Once per long rest, you can activate this ring after a successful attack against you to halve the damage. cryptographic sigils route through subdermal coils",Tier 1,"{'4swwe8SZeh2KyPtl': {'type': 'effect', '_id': '4swwe8SZeh2KyPtl', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '1', 'recovery': 'longRest', 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Activate', 'img': 'icons/equipment/finger/ring-shield-silver.webp', 'range': ''}}"
Flux Speaking Orbs Key,flux-speaking-orbs-key,This pair of orbs allows any creatures holding them to communicate with each other across any distance. stores resonance data and telemetry snapshots,Tier 1,{}
Ghost Hopekeeper Locket Node,ghost-hopekeeper-locket-node,"During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again. black-mar",Tier 1,"{'iwDm6P1ABr7vojGr': {'type': 'effect', '_id': 'iwDm6P1ABr7vojGr', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'keyIsID': False, 'key': 'hope', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': None, 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Imbue', 'img': 'icons/equipment/neck/amulet-round-engraved-spiral-gold.webp', 'range': ''}, 'xof31iSNIfxhbZH9': {'type': 'healing', '_id': 'xof31iSNIfxhbZH9', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': None, 'recovery': None, 'consumeOnSuccess': False}, 'target': {'type': 'any', 'amount': None}, 'effects': [], 'roll': {'type': None, 'trait': None, 'difficulty': None, 'bonus': None, 'advState': 'neutral', 'diceRolling': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'compare': 'above', 'treshold': 1}, 'useDefault': False}, 'name': 'Use', 'img': 'icons/equipment/neck/amulet-round-engraved-spiral-gold.webp', 'range': '', 'damage': {'parts': [], 'includeBase': False}}}"
Ghost Luck Patch,ghost-luck-patch,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range. cryptographic sigils route through subdermal coils tuned for close-quarters in blackout zones",Tier 1,"{'nlAfmdgfHTmsOdPb': {'type': 'effect', '_id': 'nlAfmdgfHTmsOdPb', 'systemPath': 'actions', 'description': '', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '3', 'recovery': 'shortRest', 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Activate', 'img': 'icons/equipment/neck/amulet-carved-stone-spiral-blue.webp', 'range': ''}}"
