old_name,new_name,new_description,effect,prompt,json
Stride Potion,Agility Booster Nanoshot,A fast-acting nanite injection that heightens reflex loops and micro-muscle response. +1 bonus to your next Agility roll.,physical,Create an image for Cybermancy for Agility Booster Nanoshot which has this description: A fast-acting nanite injection that heightens reflex loops and micro-muscle response. +1 bonus to your next Agility roll.,
Bolster Potion,Muscle Overdrive Serum,A strength-enhancing stim that floods the body with synthetic adrenaline. +1 bonus to your next Strength roll.,strength,Create an image for Cybermancy for Muscle Overdrive Serum which has this description: A strength-enhancing stim that floods the body with synthetic adrenaline. +1 bonus to your next Strength roll.,
Control Potion,Precision Sync Injector,A neural alignment serum that steadies fine-motor control. +1 bonus to your next Finesse roll.,stress,Create an image for Cybermancy for Precision Sync Injector which has this description: A neural alignment serum that steadies fine-motor control. +1 bonus to your next Finesse roll.,
Attune Potion,Instinct Amplifier Chip,A temporary neural patch that sharpens intuition and sensory prediction. +1 bonus to your next Instinct roll.,cognitive,Create an image for Cybermancy for Instinct Amplifier Chip which has this description: A temporary neural patch that sharpens intuition and sensory prediction. +1 bonus to your next Instinct roll.,
Charm Potion,Persona Enhancement Dose,An injectable charisma mod that boosts confidence and pheromonal output. +1 bonus to your next Presence roll.,charisma,Create an image for Cybermancy for Persona Enhancement Dose which has this description: An injectable charisma mod that boosts confidence and pheromonal output. +1 bonus to your next Presence roll.,
Enlighten Potion,Cognitive Overclock Pill,A nootropic compound that spikes short-term intellect and recall. +1 bonus to your next Knowledge roll.,cognitive,Create an image for Cybermancy for Cognitive Overclock Pill which has this description: A nootropic compound that spikes short-term intellect and recall. +1 bonus to your next Knowledge roll.,
Minor Health Potion,Minor Health Stimpack,A compact medical injector loaded with clotting foam and nanite tissue repair. Restores 1d4 HP.,healing,Create an image for Cybermancy for Minor Health Stimpack which has this description: A compact medical injector loaded with clotting foam and nanite tissue repair. Restores 1d4 HP.,
Minor Stamina Potion,Minor Adrenaline Patch,A mild stim patch that reduces stress hormones and stabilizes vitals. Clears 1d4 Stress.,stress,Create an image for Cybermancy for Minor Adrenaline Patch which has this description: A mild stim patch that reduces stress hormones and stabilizes vitals. Clears 1d4 Stress.,
Grindeltooth Venom,Corrosive Edge Coating,A reactive gel applied to blades that adds an acidic burst on impact. Adds 1d6 to your next physical damage roll.,physical,Create an image for Cybermancy for Corrosive Edge Coating which has this description: A reactive gel applied to blades that adds an acidic burst on impact. Adds 1d6 to your next physical damage roll.,
Varik Leaves,Focus Amp Tabs,A pair of dissolving nootropic strips that flood the mind with clarity. Gain 2 Hope.,cognitive,Create an image for Cybermancy for Focus Amp Tabs which has this description: A pair of dissolving nootropic strips that flood the mind with clarity. Gain 2 Hope.,
Vial of Moondrip,Night-Vision Eye Drops,A retinal nanofluid that enhances low-light sensitivity. You can see in total darkness until your next rest.,physical,Create an image for Cybermancy for Night-Vision Eye Drops which has this description: A retinal nanofluid that enhances low-light sensitivity. You can see in total darkness until your next rest.,
Unstable Arcane Shard,Unstable Plasma Grenade,"A volatile micro-fusion cell that can be hurled at a target cluster. On hit, deals 1d20 plasma damage within Far range.",physical,"Create an image for Cybermancy for Unstable Plasma Grenade which has this description: A volatile micro-fusion cell that can be hurled at a target cluster. On hit, deals 1d20 plasma damage within Far range.",
