category,action_identifier,action_name,action_type,action_description
armors,Dragonscale_Armor,Impenetrable,effect,"Once per short rest, when you would mark your last Hit Point, you can instead mark a Stress."
armors,Dunamis_Silkchain,Slow Time,attack,Mark an Armor Slot to roll a d4 and add its result as a bonus to your Evasion against an incoming attack.
armors,Emberwoven_Armor,Burn,damage,"When an adversary attacks you within Melee range, they mark a Stress."
armors,Harrowbone_Armor,Resilient,attack,"Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot."
armors,Rosewild_Armor,Hope,effect,"When you would spend a Hope, you can mark an Armor Slot instead."
armors,Runes_of_Fortification,Pain,effect,"Each time you mark an Armor Slot, you must mark a Stress."
armors,Runetan_Floating_Armor,Shift,effect,"When you are targeted for an attack, you can mark an Armor Slot to give the attack roll against you disadvantage."
armors,Tyris_Soft_Armor,Quiet,effect,You gain a +2 bonus to rolls you make to move silently.
armors,Veritas_Opal_Armor,Truthseeking,effect,This armor glows when another creature within Close range tells a lie.
consumables,Acidpaste,Use,effect,<p>This paste eats away walls and other surfaces in bright flashes.</p>
consumables,Armor_Stitcher,Stitch,effect,<p>You can use this stitcher to spend any number of Hope and clear that many Armor Slots.</p>
consumables,Attune_Potion,Drink,effect,<p>You gain a +1 bonus to your next Instinct Roll.</p>
consumables,Blinding_Orb,Activate,effect,<p>You can activate this orb to create a flash of bright light. All targets within Close range become Vulnerable until they mark HP.</p><p>@Template[type:emanation|range:c]</p>
consumables,Blood_of_the_Yorgi,Drink,effect,<p>You can drink this blood to disappear from where you are and immediately reappear at a point you can see within Very Far range.</p>
consumables,Bolster_Potion,Drink,effect,<p>You gain a +1 bonus to your next Strength Roll.</p>
consumables,Bonding_Honey,Use,effect,<p>This honey can be used to glue two objects together permanently.</p>
consumables,Bridge_Seed,Plant,effect,"<p>Thick vines grow from your location to a point of your choice within Far range, allowing you to climb up or across them. The vines dissipate on your next short rest.</p>"
consumables,Channelstone,Use,effect,"<p>You can use this stone to take a spell or grimoire from your vault, use it once, and return it to your vault.</p>"
consumables,Charm_Potion,Drink,effect,<p>You gain a +1 bonus to your next Presence Roll.</p>
consumables,Circle_of_the_Void,Use,effect,"<p>Mark a Stress to create a void that extends up to Far range. No magic can be cast inside the void, and creatures within the void are immune to magic damage.</p>"
consumables,Control_Potion,Drink,effect,<p>You gain a +1 bonus to your next Finesse Roll.</p>
consumables,Death_Tea,Drink,effect,"<p>After you drink this tea, you instantly kill your target when you critically succeed on an attack. If you don’t critically succeed on an attack before your next long rest, you die.</p>"
consumables,Dragonbloom_Tea,Drink,attack,Barrel in like a raging bull. Drink. deal d20 damage
consumables,Dripfang_Poison,Consume,damage,<p>A creature who consumes this poison takes 8d10 direct magic damage.</p>
consumables,Enlighten_Potion,Drink,effect,<p>You gain a +1 bonus to your next Knowledge Roll.</p>
consumables,Feast_of_Xuria,Eat,healing,<p>You can eat this meal to clear all HP and Stress and gain 1d4 Hope.</p>
consumables,Featherbone,Use,effect,<p>You can use this bone to control your falling speed for a number of minutes equal to your level.</p>
consumables,Gill_Salve,Apply,effect,<p>You can apply this salve to your neck to breathe underwater for a number of minutes equal to your level.</p>
consumables,Grindletooth_Venom,Apply,effect,<p>You can apply this venom to a weapon that deals physical damage to add a d6 to your next damage roll with that weapon.</p>
consumables,Growing_Potion,Drink,effect,"<p>You can drink this potion to double your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Strength and a +1 bonus to your Proficiency.</p>"
consumables,Health_Potion,Drink,healing,<p>Clear 1d4+1 HP.</p>
consumables,Homet_s_Secret_Potion,Drink,effect,"<p>After drinking this potion, the next successful attack you make critically succeeds.</p>"
consumables,Hopehold_Flare,Use,effect,"<p>When you use this flare, allies within Close range roll a d6 when they spend a Hope. On a result of 6, they gain the effect of that Hope without spending it. The flare lasts until the end of the scene.</p><p>@Template[type:emanation|range:c]</p>"
consumables,Improved_Arcane_Shard,Throw,attack,<p>You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 2d20 magic damage.</p>
consumables,Improved_Grindletooth_Venom,Apply,effect,<p>You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon.</p>
consumables,Jar_of_Lost_Voices,Open,damage,<p>You can open this jar to release a deafening echo of voices for a number of minutes equal to your Instinct. Creatures within Far range unprepared for the sound take 6d8 magic damage.</p><p>@Template[type:emanation|range:f]</p>
consumables,Jumping_Root,Eat,effect,<p>Eat this root to leap up to Far range once without needing to roll.</p>
consumables,Knowledge_Stone,Use,effect,"<p>If you die while holding this stone, an ally can take a card from your loadout to place in their loadout or vault. After they take this knowledge, the stone crumbles.</p>"
consumables,Major_Arcane_Shard,Throw,attack,<p>You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 4d20 magic damage.</p>
consumables,Major_Attune_Potion,Drink,effect,<p>You gain a +1 bonus to your Instinct until your next rest.</p>
consumables,Major_Bolster_Potion,Drink,effect,<p>You gain a +1 bonus to your Strength until your next rest.</p>
consumables,Major_Charm_Potion,Drink,effect,<p>You gain a +1 bonus to your Presence until your next rest.</p>
consumables,Major_Control_Potion,Drink,effect,<p>You gain a +1 bonus to your Finesse until your next rest.</p>
consumables,Major_Enlighten_Potion,Drink,effect,<p>You gain a +1 bonus to your Knowledge until your next rest.</p>
consumables,Major_Health_Potion,Drink,healing,<p>Clear 1d4+2 HP.</p>
consumables,Major_Stamina_Potion,Drink,healing,<p>Clear 1d4+2 Stress.</p>
consumables,Major_Stride_Potion,Drink,effect,<p>You gain a +1 bonus to your Agility until your next rest.</p>
consumables,Minor_Health_Potion,Drink,healing,<p>Clear 1d4 HP.</p>
consumables,Minor_Stamina_Potion,Drink,healing,<p>Clear 1d4 Stress.</p>
consumables,Mirror_of_Marigold,Use,effect,"<p>When you take damage, you can spend a Hope to negate that damage, after which the mirror shatters.</p>"
consumables,Morphing_Clay,Use,effect,"<p>You can spend a Hope to use this clay, altering your face enough to make you unrecognizable until your next rest.</p>"
consumables,Mythic_Dust,Use,effect,<p>You can apply this dust to a weapon that deals magic damage to add a d12 to your next damage roll with that weapon.</p>
consumables,Ogre_Musk,Use,effect,<p>You can use this musk to prevent anyone from tracking you by mundane or magical means until your next rest.</p>
