domain,system.level,name,theme,description,effect,type,system.type,blurb,img
circuits,1,Patience Young Padawan,Improve Hack rolls,"“Turns out, rushing a hack only impresses the ICE.” If you take at least 1 minute to study a device before attempting to hack it, gain advantage on your next Spellcasting (Hacking) roll against that system this scene.","If you take at least 1 minute to study a device before attempting to hack it, gain advantage on your next Spellcasting (Hacking) roll against that system this scene.",domainCard,spell,"“Turns out, rushing a hack only impresses the ICE.”",modules/cybermancy/assets/icons/domains/circuit/circuit/patience-young-padawan.webp
circuits,1,Quick Hack,Improve Hack rolls,"“For when you don’t have time to be subtle… or alive.” Once per Scene, when you trigger an ICE countermeasure or trace feature, you can Mark 1 Stress to use your Reaction against the Device difficulty to avoid the effect, or Mark 2 Stress to avoid it without a roll.","Once per Scene, when you trigger an ICE countermeasure or trace feature, you can Mark 1 Stress to use your Reaction against the Device difficulty to avoid the effect, or Mark 2 Stress to avoid it without a roll.",domainCard,ability,“For when you don’t have time to be subtle… or alive.”,modules/cybermancy/assets/icons/domains/circuit/circuit/quick-hack.webp
circuits,1,Field Experience,General aid,"“You’ve seen this circuit before — probably in the wreckage of your last run.” Once per Long Rest, put tokens on this card equal to your Spellcasting (Hacking) to gain one of the following effect: +1 on next Hack action, +1 on Evasion as a Reaction, Gain 1 Hope, Clear 1 Stress","Once per Long Rest, put tokens on this card equal to your Spellcasting (Hacking) to gain one of the following effect: +1 on next Hack action, +1 on Evasion as a Reaction, Gain 1 Hope, Clear 1 Stress",domainCard,spell,“You’ve seen this circuit before — probably in the wreckage of your last run.”,modules/cybermancy/assets/icons/domains/circuit/field-experience.webp
circuits,1,Signal Boost,Combat,"“Sometimes all you need is a better connection.” Once per Scene, you can reroute local energy or data flow. Choose one ally within Close range; they gain +1 to their next roll that involves technology or reflexes.","Once per Scene, you can reroute local energy or data flow. Choose one ally within Close range; they gain +1 to their next roll that involves technology or reflexes.",domainCard,ability,“Sometimes all you need is a better connection.”,modules/cybermancy/assets/icons/domains/circuit/signal-boost.webp
circuits,2,Strobe Effect,Combat,"“Flash ’em, crash ’em, and walk out glowing.” Spend 1 Hope to use your Reaction to make a Device you have Infiltrated or Controlled successfully generate a distration.  The enemy must spend 1 Fear to take their next Action and they have disadvantage if they attack with their next action.",Spend 1 Hope to use your Reaction to make a Device you have Infiltrated or Controlled successfully generate a distration.  The enemy must spend 1 Fear to take their next Action and they have disadvantage if they attack with their next action.,domainCard,ability,"“Flash ’em, crash ’em, and walk out glowing.”",modules/cybermancy/assets/icons/domains/circuit/strobe-effect.webp
circuits,2,Elevate Permission,Improve Hacking,“Because root access is a state of mind.” Spend 1 Hope Spend 1 Hope to escalate your access level on a Device you are Hacking from Infiltration to Control.,Spend 1 Hope Spend 1 Hope to escalate your access level on a Device you are Hacking from Infiltration to Control.,domainCard,ability,“Because root access is a state of mind.”,modules/cybermancy/assets/icons/domains/circuit/elevate-permission.webp
circuits,2,Ghost Signal,Combat,"“Sometimes your best ally is a flickering echo of bad code.” Target 1 weapon within Far, Spend 1 Hope and make a Spellcasting check (12).  On a success, any non-primative weapon malfunctions and requires an action to clear it, and thereafter has a -1 for any Action using it.","Target 1 weapon within Far, Spend 1 Hope and make a Spellcasting check (12).  On a success, any non-primative weapon malfunctions and requires an action to clear it, and thereafter has a -1 for any Action using it.",domainCard,spell,“Sometimes your best ally is a flickering echo of bad code.”,modules/cybermancy/assets/icons/domains/circuit/ghost-signal.webp
circuits,2,Static Veil,Combat,"“The perfect invisibility cloak smells faintly of ozone.” Spend 1 Hope to emit an electromagnetic haze that blurs surveillance and scanners. For one Scene, enemies roll with Disadvantage to detect you or your team.","Spend 1 Hope to emit an electromagnetic haze that blurs surveillance and scanners. For one Scene, enemies roll with Disadvantage to detect you or your team.",domainCard,ability,“The perfect invisibility cloak smells faintly of ozone.”,modules/cybermancy/assets/icons/domains/circuit/static-veil.webp
circuits,3,Overload,Combat,"“Push it past the redline — what’s the worst that could happen?” Make a Spellcasting roll (15) to make a device you Control explode causing all Adversaries within Very Close of the Device to take 2d6 damage, and all within Close take 1d6","Make a Spellcasting roll (15) to make a device you Control explode causing all Adversaries within Very Close of the Device to take 2d6 damage, and all within Close take 1d6",domainCard,spell,“Push it past the redline — what’s the worst that could happen?”,modules/cybermancy/assets/icons/domains/circuit/overload.webp
circuits,3,Deep search,Role playing,"“The Grid whispers, if you know how to listen.” Spend 2 Hope to know something about an enemy.  As the GM up to 3 yes/no questions.",Spend 2 Hope to know something about an enemy.  As the GM up to 3 yes/no questions.,domainCard,ability,"“The Grid whispers, if you know how to listen.”",modules/cybermancy/assets/icons/domains/circuit/deep-search.webp
