type,name,description,theme,description,effect,blurb,img,
domain-bullet,Bullet Time,Anticipate incoming attacks and move before they happen. | Reflex enhancement | Gain +4 to evasion against one chosen target until your next action. | You’re never where they’re aiming.,Reflex enhancement,Anticipate incoming attacks and move before they happen.,Gain +4 to evasion against one chosen target until your next action.,You’re never where they’re aiming.,bullet-time,
domain-bullet,Shoot Around Corners,Fire at enemies without line of sight using ricochets and angles. | Trick shooting | Hit a target around a 45° corner with disadvantage. | Geometry is your ally.,Trick shooting,Fire at enemies without line of sight using ricochets and angles.,Hit a target around a 45° corner with disadvantage.,Geometry is your ally.,shoot-around-corner,
domain-bullet,Snapshot,Interrupt an opponent mid-action with a lightning-fast shot. | Quick reaction | Reaction: Spend 1 Hope when the GM spotlights an opponent. Make a single ranged attack. Once per scene. | Faster than the spotlight.,Quick reaction,Interrupt an opponent mid-action with a lightning-fast shot.,Reaction: Spend 1 Hope when the GM spotlights an opponent. Make a single ranged attack. Once per scene.,Faster than the spotlight.,snapshot,
domain-bullet,Quick Reload,Swap ammo types effortlessly. | Reload manipulation | Swap ammunition types without spending an action. | Reloading is for amateurs.,Reload manipulation,Swap ammo types effortlessly.,Swap ammunition types without spending an action.,Reloading is for amateurs.,quick-reload,
domain-bullet,Gunsmith,Customize and maintain weaponry beyond factory limits. | Weapon mastery | Gain +1 mod slot for each firearm you own. | Your tools are extensions of your will.,Weapon mastery,Customize and maintain weaponry beyond factory limits.,Gain +1 mod slot for each firearm you own.,Your tools are extensions of your will.,gunsmith,
domain-bullet,Gun Trainer,"Train others in advanced firearm techniques. | Firearm instruction | Once per session, grant an ally +2 to their next firearm attack. | You teach death politely.",Firearm instruction,Train others in advanced firearm techniques.,"Once per session, grant an ally +2 to their next firearm attack.",You teach death politely.,gun-trainer,
domain-bullet,Quick Shot,"Fire multiple rounds before others can react. | Speed attack | Attack normally; apply full damage to a second target within Very Close range. | Two shots, one heartbeat.",Speed attack,Fire multiple rounds before others can react.,Attack normally; apply full damage to a second target within Very Close range.,"Two shots, one heartbeat.",quick-shot,
domain-bullet,Targeted Shot,Aim for weak points and disable. | Precision strike | Mark 1 Stress on a hit to disable a targeted limb or component. | Precision is compassion—end it cleanly.,Precision strike,Aim for weak points and disable.,Mark 1 Stress on a hit to disable a targeted limb or component.,Precision is compassion—end it cleanly.,targeted-shot,
domain-bullet,Assess Weapon,Analyze an enemy’s weapon to exploit weaknesses. | Analytical skill | Action: Identify the weapon type and potential weaknesses or modifications. | Every gun tells a story.,Analytical skill,Analyze an enemy’s weapon to exploit weaknesses.,Action: Identify the weapon type and potential weaknesses or modifications.,Every gun tells a story.,assess-weapon,
domain-bullet,Heavy Ordnance,Wield military-grade weaponry with ease. | Big guns | Fire heavy or explosive weapons without disadvantage. | You bring war to a knife fight.,Big guns,Wield military-grade weaponry with ease.,Fire heavy or explosive weapons without disadvantage.,You bring war to a knife fight.,heavy-ordnance,
domain-bullet,Rapid Fire,"Unload at blistering speed. | Volume of fire | Shoot twice per action, each at -2. | The sound of inevitability.",Volume of fire,Unload at blistering speed.,"Shoot twice per action, each at -2.",The sound of inevitability.,rapid-fire,
domain-bullet,Trick Shot,"Perform shots that defy logic and impress onlookers. | Creative aiming | If you aim for 10 seconds, make a narrative-impact shot at GM discretion. | Style points count double.",Creative aiming,Perform shots that defy logic and impress onlookers.,"If you aim for 10 seconds, make a narrative-impact shot at GM discretion.",Style points count double.,trick-shot,
