old_name,new_name,new_description,img,effect,img-path
Premium Bedroll,Synth Premium Bedroll Key,"During downtime, you automatically clear a Stress. black-market tech favored by runners and fixers",synth-premium-bedroll-key,loot,modules/cybermancy/assets/icons/loot/synth-premium-bedroll-key.webp
Piper Whistle,Quantum Piper Whistle Injector,"This handcrafted whistle has a distinctive sound. When you blow this whistle, its piercing tone can be heard within a 1-mile radius. black-market tech favored by runners and fixers",quantum-piper-whistle-injector,loot,modules/cybermancy/assets/icons/loot/quantum-piper-whistle-injector.webp
Charging Quiver,Quantum Charging Quiver Module,"When you succeed on an attack with an arrow stored in this quiver, gain a bonus to the damage roll equal to your current tier. black-market tech favored by runners and fixers",quantum-charging-quiver-module,loot,modules/cybermancy/assets/icons/loot/quantum-charging-quiver-module.webp
Alistair’s Torch,Cipher Arc Torch,"You can light this magic torch at will. The flame’s light fills a much larger space than it should, enough to illuminate a cave bright as day. black-market tech favored by runners and fixers",cipher-arc-torch,loot,modules/cybermancy/assets/icons/loot/cipher-arc-torch.webp
Speaking Orbs,Flux Speaking Orbs Key,This pair of orbs allows any creatures holding them to communicate with each other across any distance. stores resonance data and telemetry snapshots,flux-speaking-orbs-key,loot,modules/cybermancy/assets/icons/loot/flux-speaking-orbs-key.webp
Manacles,Synth Manacles Spike,This pair of locking cuffs comes with a key. black-market tech favored by runners and fixers,synth-manacles-spike,loot,modules/cybermancy/assets/icons/loot/synth-manacles-spike.webp
Arcane Cloak,Ghost Ghostweave Cloak,"A creature with a Spellcast trait wearing this cloak can adjust its color, texture, and size at will. blends with urban spectra and sensor noise",ghost-ghostweave-cloak,loot,modules/cybermancy/assets/icons/loot/ghost-ghostweave-cloak.webp
Woven Net,Nano Woven Net Module,You can make a Finesse Roll using this net to trap a small creature. A trapped target can break free with a successful Attack Roll (16). black-market tech favored by runners and fixers,nano-woven-net-module,loot,modules/cybermancy/assets/icons/loot/nano-woven-net-module.webp
Fire Jar,Chrome Fire Jar Beacon,You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest. black-market tech favored by runners and fixers,chrome-fire-jar-beacon,loot,modules/cybermancy/assets/icons/loot/chrome-fire-jar-beacon.webp
Suspended Rod,Opti Suspended Rod Spike,"This flat rod is inscribed with runes. When you activate the rod, it is immediately suspended in place. Until the rod is deactivated, it can’t move, doesn’t abide by the rules of gravity, and remains in place. black-market tech favored by runners and fixers",opti-suspended-rod-spike,loot,modules/cybermancy/assets/icons/loot/opti-suspended-rod-spike.webp
Glamour Stone,Arc Memory Stone,Activate this pebble-sized stone to memorize the appearance of someone you can see. Spend a Hope to magically recreate this guise on yourself as an illusion. stores resonance data and telemetry snapshots,arc-memory-stone,loot,modules/cybermancy/assets/icons/loot/arc-memory-stone.webp
Empty Chest,Arc Empty Chest Module,"This magical chest appears empty. When you speak a specific trigger word or action and open the chest, you can see the items stored within it. black-market tech favored by runners and fixers",arc-empty-chest-module,loot,modules/cybermancy/assets/icons/loot/arc-empty-chest-module.webp
