name,tier,type,img,description,systemType,notes,motivesAndTactics,hitPoints,stress,difficulty,attackBonus,majorThreshold,severeThreshold,attackName,attackDescription,attackDamage,attackRange,attackImg,experienceName,experienceBonus
Rave Enforcer,1,adversary,rave-enforcer,Implanted subdermal LEDs pulse with hypnotic rhythm. Swings a reinforced baton synchronized to their internal beat-generator.,bruiser,,"intimidate, bully, steal, protect",7,3,12,2,8,14,Crowbar,This is not what the crowbar was meant for!,1d10+3,melee,crowbar,Unveiled Threats,3
Dockworker with Grease Stains,1,adversary,dockworker-with-grease-stains,"A heavy-lifting laborer used to moving crates, not dodging bullets.",bruiser,"Knows cargo schedules, smuggling habits, and who pays extra for quiet.","Prefers to shout and posture first; if provoked, swings hard and fast until the threat backs down.",5,2,11,1,4,6,Crate Hook,"A wide, heavy punch like swinging a crate hook at someone's jaw.",1d6,close,crate-hook,Recruit muscle or loading help,1
Autonomous Combat Drone (Ground),2,adversary,combat-drone-ground,A quadrupedal drone built for stability and pursuit.,bruiser,,Advance aggressively and pin targets.,5,1,12,3,7,10,Kinetic Slam,High-speed body impact.,1d10,close,combat-drone-ground,Extract mobility servos,2
Autonomous Guard Bot,2,adversary,autonomous-guard-bot,A compact bipedal bot with nonlethal and lethal options.,bruiser,,Patrol and challenge intruders directly.,5,1,12,3,6,9,Baton Strike,Electrified melee strike.,1d10,close,autonomous-guard-bot,Reprogram patrol logic,2
Ex-gang Member Trying to Stay Clean,2,adversary,ex-gang-member-trying-to-stay-clean,A former ganger with old scars and enough discipline to try another life.,bruiser,Has history with local crews and may still be on some lists.,"Avoids violence but will stand their ground when pushed, protecting bystanders before themselves.",5,2,12,2,5,8,Hard-right Hook,A practiced brawling punch that can drop an unprepared opponent.,1d6+1,close,hard-right-hook,Earn their guarded respect,2
Quiet Ganger,2,adversary,quiet-ganger,"A low-level gang member watching, listening, and reporting back to someone meaner.",bruiser,Has ties to a local crew and can call in trouble if offended.,"Stays calm and observant, then strikes hard and fast or signals allies if things escalate.",5,2,12,2,5,8,Gang Knife,A practiced stab with a short gang knife at close range.,1d6+1,close,gang-knife,Influence their gang's attitude,2
Ex-military Veteran,2,adversary,ex-military-veteran,A former soldier with outdated chrome and ingrained tactical reflexes.,bruiser,"Understands small-unit tactics, ambushes, and how corps wage war.","Assesses threats quickly, takes cover, and focuses on disabling the most dangerous target first.",5,2,13,2,6,9,Combat Strike,A practiced combination of strikes leveraging training and cybernetic strength.,1d6+2,close,combat-strike,Recruit hardened backup,2
Corp-Spec Guard Android,3,adversary,corp-guard-android,A humanoid android built for facility defense.,bruiser,,Advance methodically and neutralize threats.,7,1,14,5,10,14,Power Strike,Reinforced melee impact.,2d8,close,corp-guard-android,Extract android shell,3
Security Mech Frame,3,adversary,security-mech-frame,A compact exosuit used by facility defense teams.,bruiser,,Advance aggressively and control space.,7,1,14,5,11,15,Mech Slam,Powered exosuit impact.,2d8,close,security-mech-frame,Extract actuator core,3
Automated Barricade Deployment System,3,adversary,auto-barricade-system,Deployable steel plates with integrated weapon pods.,bruiser,,Block access and fire while advancing.,7,1,14,4,9,12,Barricade Burst,Integrated weapon pod volley.,2d8,veryClose,auto-barricade-system,Disassemble barricade,2
Pattern-Touched Beggar,1,adversary,pattern-touched-beggar,"Unpredictable, mumbling fragments of pattern phrases. Carries improvised weapons. Presence causes mild psychic static in their vicinity.",ranged,,"confuse, disorient, convert, suborn",4,4,10,1,4,9,Psychic Distrubance,Your brain is squeezed from the inside,1d6+1,far,psychic-distrubance,Resonance Knowledge,2
Automated Machinegun Turret,2,adversary,automated-machinegun-turret,A ceiling-mounted ballistic turret with automated targeting.,ranged,,Track heat signatures and suppress intruders.,5,1,12,4,6,9,Burst Fire,Rapid-fire suppression burst.,2d6,far,automated-machinegun-turret,Disable firing motor,2
Micro-Missile Sentry Pod,2,adversary,micro-missile-sentry-pod,A compact pod that fires guided micro-missiles.,ranged,,Target high-threat intruders with precision missiles.,5,1,12,4,5,8,Micro-Missile,Homing explosive projectile.,2d6+1,far,micro-missile-sentry-pod,Recover targeting core,2
Sonic Disruption Cannon,2,adversary,sonic-disruption-cannon,A high-frequency sonic weapon for hallways and chokepoints.,ranged,,Break formations and scatter intruders.,5,1,12,3,5,8,Sonic Burst,Directional sonic shockwave.,2d6,veryClose,sonic-disruption-cannon,Stabilize emitter core,2
Washed-up Mage,2,adversary,washed-up-mage,"An older mage whose power is frayed but not gone, haunted by past contracts.",ranged,"Knows occult hotspots, mana anomalies, and old rituals that still work.",Tries to warn people off first; uses low-grade spells at range and avoids getting surrounded.,5,2,12,2,4,7,Stinging Hex,A short-range burst of disruptive magic that sears nerves and focus.,1d8,melee,stinging-hex,Tap into arcane lore,2
Rail-Slug Wall Cannon,3,adversary,rail-slug-cannon,A wall-embedded railgun firing armor-piercing slugs.,ranged,,Target high-value intruders with extreme lethality.,7,1,14,5,9,12,Rail Slug,Hypervelocity slug.,2d10,far,rail-slug-cannon,Retrieve rail magnets,3
Auto-Targeting Sniper Node,3,adversary,auto-sniper-node,A rooftop precision node with thermal scope and rail-lens.,ranged,,Eliminate intruders at long distance.,7,1,14,5,8,12,Sniper Shot,Long-range high-caliber shot.,2d10,far,auto-sniper-node,Secure targeting optics,3
