name,type,img,description,tier,secondary,burden,primaryAction,additionalActions,intrinsicEffects,DHFeature,range,numtargets,trait,damage,damageType,damageTo,cybermancy-feature-name,cybermancy-feature-effect,critical-effect-name,critical-effect
Loaded Battleaxe,weapon,modules/cybermancy/assets/icons/weapons/axes/axe-double-jagged-black.png,It's an axe,1,FALSE,twoHanded,attack,Legendary_Whip,,,melee,1,strength,d10+3,physical,hitPoints,,,,
Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/monofilament-whip.png,"A razor-thin filament coil capable of slicing through armor and bone. Deadly, silent, and banned in most civilized zones.",1,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d10,physical,hitPoints,Lethal Edge," On a Hope win, deal Severe damage if the Fear die shows 8-12.",Slice in Two," Sever or disable a limb, item, or piece of cover."
Cyber Spur,weapon,modules/cybermancy/assets/icons/weapons/cyber-spur.png,"A retractable blade hidden in the user’s forearm, perfect for sudden, lethal strikes in close quarters.",1,FALSE,oneHanded,attack,,,retractable,melee,1,instinct,d8,physical,hitPoints,Concealed, Can be hidden; gain advantage on your first attack each scene.,Ambush Kill," If striking from surprise, escalate Fear consequences for target."
Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/shock-baton.png,"A polymer club fitted with a high-voltage capacitor, used by corp security and riot control alike.",1,FALSE,oneHanded,attack,,,,close,1,presence,d8+1,physical,hitPoints,Stunning, Spend a Hope on a successful hit to inflict Dazed for one round.,Knockout, Target is stunned or unconscious for one scene beat.
Vibro-Knife,weapon,modules/cybermancy/assets/icons/weapons/vibro-knife.png,"A short combat blade that hums at ultrasonic speed, capable of piercing armor with surgical precision.",1,FALSE,oneHanded,attack,,,,melee,1,agility,d8+2,physical,hitPoints,Piercing, Ignores armor on a Hope critical.,Silent Kill, Disable one target silently with no alert escalation.
Smartpistol,weapon,modules/cybermancy/assets/icons/weapons/smartpistol.png,"Compact sidearm with digital targeting and auto-adjust systems, favored by professional runners.",1,FALSE,oneHanded,attack,,,,far,1,finesse,d6+2,physical,hitPoints,Smartlink," Once per scene, reroll one attack die if linked to cyberware/gear.",Pinpoint, Crit ignores cover; disable weapon/armor.
SMG (Machine Pistol),weapon,modules/cybermancy/assets/icons/weapons/smg-machine-pistol.png,"Lightweight submachine gun optimized for close-quarters burst fire; loud, fast, and unforgiving.",1,FALSE,twoHanded,attack,,,,close,1,agility,d6+3,physical,hitPoints,Burst Fire, Mark 1 Stress to attack an additional target in Close range.,Spray Down, Hit all targets in Very Close range with collateral fire.
Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/assault-rifle.png,"The runner’s staple: reliable, lethal, and adaptable across every corporate warzone on Earth.",1,FALSE,twoHanded,attack,,,,far,1,strength,d8+3,physical,hitPoints,Suppressive Fire," On a Hope win, target must mark 1 Stress to act next turn.",Shredding Burst," Force enemy into cover, reducing their next attack roll."
Shotgun,weapon,modules/cybermancy/assets/icons/weapons/shotgun.png,Brutal close-range weapon that clears hallways with concussive thunder and devastating scatter.,1,FALSE,twoHanded,attack,,,,close,1,instinct,d10+2,physical,hitPoints,Scatter, Spend a Hope to attack all targets in Very Close range.,Point-Blank Devastation, Knock back and lose next action.
Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/sniper-rifle.png,"Precision weapon built for the patient killer — silent, steady, and unerring over long distances.",1,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d8+4,physical,hitPoints,Scoped, Spend a round aiming to gain advantage on next shot.,Through and Through, Bullet passes through to a second target in line.
