name,type,img,description,tier,secondary,burden,primaryAction,additionalActions,intrinsicEffects,DHFeature,range,numtargets,trait,damage,damageType,damageTo,cybermancy-feature-name,feature-img,cybermancy-feature-effect,critical-effect-name,critical-effect-img,critical-effect
Loaded Battleaxe,weapon,modules/cybermancy/assets/icons/weapons/axes/axe-double-jagged-black.webp,It's an axe,1,FALSE,twoHanded,attack,Legendary_Whip,,,melee,1,strength,d10+3,physical,hitPoints,,,,,,
Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/monofilament-whip.webp,"A razor-thin filament coil capable of slicing through armor and bone. Deadly, silent, and banned in most civilized zones.",1,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d10,physical,hitPoints,Lethal Edge,modules/cybermancy/assets/icons/features/lethal-edge.webp," On a Hope win, deal Severe damage if the Fear die shows 8-12.",Slice in Two,modules/cybermancy/assets/icons/features/slice-in-two.webp," Sever or disable a limb, item, or piece of cover."
Cyber Spur,weapon,modules/cybermancy/assets/icons/weapons/cyber-spur.webp,"A retractable blade hidden in the user’s forearm, perfect for sudden, lethal strikes in close quarters.",1,FALSE,oneHanded,attack,,,retractable,melee,1,instinct,d8,physical,hitPoints,Concealed,modules/cybermancy/assets/icons/features/concealed.webp, Can be hidden; gain advantage on your first attack each scene.,Ambush Kill,modules/cybermancy/assets/icons/features/ambush-kill.webp," If striking from surprise, escalate Fear consequences for target."
Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/shock-baton.webp,"A polymer club fitted with a high-voltage capacitor, used by corp security and riot control alike.",1,FALSE,oneHanded,attack,,,,close,1,presence,d8+1,physical,hitPoints,Stunning,modules/cybermancy/assets/icons/features/stunning.webp, Spend a Hope on a successful hit to inflict Dazed for one round.,Knockout,modules/cybermancy/assets/icons/features/knockout.webp, Target is stunned or unconscious for one scene beat.
Vibro-Knife,weapon,modules/cybermancy/assets/icons/weapons/vibro-knife.webp,"A short combat blade that hums at ultrasonic speed, capable of piercing armor with surgical precision.",1,FALSE,oneHanded,attack,,,,melee,1,agility,d8+2,physical,hitPoints,Piercing,modules/cybermancy/assets/icons/features/piercing.webp, Ignores armor on a Hope critical.,Silent Kill,modules/cybermancy/assets/icons/features/silent-kill.webp, Disable one target silently with no alert escalation.
Smartpistol,weapon,modules/cybermancy/assets/icons/weapons/smartpistol.webp,"Compact sidearm with digital targeting and auto-adjust systems, favored by professional runners.",1,FALSE,oneHanded,attack,,,,far,1,finesse,d6+2,physical,hitPoints,Smartlink,modules/cybermancy/assets/icons/features/smartlink.webp," Once per scene, reroll one attack die if linked to cyberware/gear.",Pinpoint,modules/cybermancy/assets/icons/features/pinpoint.webp, Crit ignores cover; disable weapon/armor.
SMG (Machine Pistol),weapon,modules/cybermancy/assets/icons/weapons/smg-machine-pistol.webp,"Lightweight submachine gun optimized for close-quarters burst fire; loud, fast, and unforgiving.",1,FALSE,twoHanded,attack,,,,close,1,agility,d6+3,physical,hitPoints,Burst Fire,modules/cybermancy/assets/icons/weapons-feature/burst-fire.webp, Mark 1 Stress to attack an additional target in Close range.,Spray Down,modules/cybermancy/assets/icons/features/spray-down.webp, Hit all targets in Very Close range with collateral fire.
Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/assault-rifle.webp,"The runner’s staple: reliable, lethal, and adaptable across every corporate warzone on Earth.",1,FALSE,twoHanded,attack,,,,far,1,strength,d8+3,physical,hitPoints,Suppressive Fire,modules/cybermancy/assets/icons/weapons-feature/suppressive-fire.webp," On a Hope win, target must mark 1 Stress to act next turn.",Shredding Burst,modules/cybermancy/assets/icons/features/shredding-burst.webp," Force enemy into cover, reducing their next attack roll."
Shotgun,weapon,modules/cybermancy/assets/icons/weapons/shotgun.webp,Brutal close-range weapon that clears hallways with concussive thunder and devastating scatter.,1,FALSE,twoHanded,attack,,,,close,1,instinct,d10+2,physical,hitPoints,Scatter,modules/cybermancy/assets/icons/weapons-feature/scatter.webp, Spend a Hope to attack all targets in Very Close range.,Point-Blank Devastation,modules/cybermancy/assets/icons/features/point-blank-devastation.webp, Knock back and lose next action.
Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/sniper-rifle.webp,"Precision weapon built for the patient killer — silent, steady, and unerring over long distances.",1,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d8+4,physical,hitPoints,Scoped,modules/cybermancy/assets/icons/weapons-feature/scoped.webp, Spend a round aiming to gain advantage on next shot.,Through and Through,modules/cybermancy/assets/icons/features/through-and-through.webp, Bullet passes through to a second target in line.
