bytes,player_paths,gm_paths,existing_shared_paths,suggested_shared_path,blob_sha
20082,docs/player-facing/assets/icons/corps/astravail-technologies.webp,docs/gm-facing/assets/icons/corps/astravail-technologies.webp,,docs/_shared/assets/icons/corps/astravail-technologies.webp,a81ca1f15cfa83e2a5031ed195189e7feed7aa75
10948,docs/player-facing/assets/icons/corps/black-helix-security.webp,docs/gm-facing/assets/icons/corps/black-helix-security.webp,,docs/_shared/assets/icons/corps/black-helix-security.webp,8beae4f5f2541902d229cfe1f07483202315595d
15432,docs/player-facing/assets/icons/corps/chimeragene-solutions.webp,docs/gm-facing/assets/icons/corps/chimeragene-solutions.webp,,docs/_shared/assets/icons/corps/chimeragene-solutions.webp,c67061f1f5e8b5aa931126c4d38d29d0bed80959
11222,docs/player-facing/assets/icons/corps/dominion-systems.webp,docs/gm-facing/assets/icons/corps/dominion-systems.webp,,docs/_shared/assets/icons/corps/dominion-systems.webp,56ea34f5146dc2beb99388288b9efb166a816e14
14448,docs/player-facing/assets/icons/corps/helion-dynamics.webp,docs/gm-facing/assets/icons/corps/helion-dynamics.webp,,docs/_shared/assets/icons/corps/helion-dynamics.webp,5b456ab2397268e066d62d04546ca9a9ddd54721
13996,docs/player-facing/assets/icons/corps/kirin-logistics.webp,docs/gm-facing/assets/icons/corps/kirin-logistics.webp,,docs/_shared/assets/icons/corps/kirin-logistics.webp,d71b00fd894ff3beb692ecca1e2b75cb090d791a
15866,docs/player-facing/assets/icons/corps/neuracore-industries.webp,docs/gm-facing/assets/icons/corps/neuracore-industries.webp,,docs/_shared/assets/icons/corps/neuracore-industries.webp,bdf4f9e85dd7962e9661a08c762205a67c387fe5
15894,docs/player-facing/assets/icons/corps/omnitrine-communications.webp,docs/gm-facing/assets/icons/corps/omnitrine-communications.webp,,docs/_shared/assets/icons/corps/omnitrine-communications.webp,ff70a516b23882bb184abfa5a33f7993a14475be
18316,docs/player-facing/assets/icons/corps/verdant-biomech.webp,docs/gm-facing/assets/icons/corps/verdant-biomech.webp,,docs/_shared/assets/icons/corps/verdant-biomech.webp,222d69d39c0ec5ab01f3fa44e49acfffb74c5e95
18906,docs/player-facing/assets/icons/corps/vesper-syndicate.webp,docs/gm-facing/assets/icons/corps/vesper-syndicate.webp,,docs/_shared/assets/icons/corps/vesper-syndicate.webp,54dbb7f9bdf383c7fd81526a7f096868aee1f72d
279198,docs/player-facing/assets/icons/armors/bare-bones.webp,docs/gm-facing/assets/icons/adversaries-features/bare-bones.webp,,docs/_shared/assets/icons/shared/bare-bones.webp,43370f2f2ee8a2e83f3ac1c9c07145c6da7145fe
290910,docs/player-facing/assets/icons/armors/bellamoi-fine-armor.webp,docs/gm-facing/assets/icons/adversaries-features/bellamoi-fine-armor.webp,,docs/_shared/assets/icons/shared/bellamoi-fine-armor.webp,3326460a3d6d1acff18835ea1265e8f23523b1d5
300646,docs/player-facing/assets/icons/armors/caster-s-conduit-harness.webp,docs/gm-facing/assets/icons/adversaries-features/caster-s-conduit-harness.webp,,docs/_shared/assets/icons/shared/caster-s-conduit-harness.webp,4d9c6f51b2735a9b74c4f4ef47d8470c9f5d1339
430604,docs/player-facing/assets/icons/armors/elundrian-chain-mail.webp,docs/gm-facing/assets/icons/adversaries-features/elundrian-chain-mail.webp,,docs/_shared/assets/icons/shared/elundrian-chain-mail.webp,ef974777dfdef5a159b49add5c998c0699160884
237668,docs/player-facing/assets/icons/loot/focusing-brain-implant.webp,docs/gm-facing/assets/icons/adversaries-features/focusing-brain-implant.webp,,docs/_shared/assets/icons/shared/focusing-brain-implant.webp,de311f1fc951d13d4e8c986c2cd99452d7ddbec5
405904,docs/player-facing/assets/icons/features/heaven-s-gate.webp,docs/gm-facing/assets/icons/adversaries-features/heaven-s-gate.webp,,docs/_shared/assets/icons/shared/heaven-s-gate.webp,000c2fb76443e51619ea1c67790b2e4662b73ad8
309580,docs/player-facing/assets/icons/armors/monett-s-cloak.webp,docs/gm-facing/assets/icons/adversaries-features/monett-s-cloak.webp,,docs/_shared/assets/icons/shared/monett-s-cloak.webp,8259ce28819aeef960a54ab83c431200d164a726
